"ACCURACY";"CHECKED";"CODE";"COORDINATES";"CREATEDAT";"DATE";"DESCRIPTION";"EMPTY";"NUMBER";"PHOTOS";"ROI";"TEMPERATURE";"TYPE";"UPDATEDAT";"WIND";"_ID";"__V"
"3.9000000953674316";"";"1";"9.0676501";"Sat Apr 17 13:55:57 CEST 2021";"Sat Apr 17 13:55:57 CEST 2021";"WGS 84";"false";"";"uploads/99475b99-0bc8-4ebf-830b-22de6ac785d9.jpeg";"000000000000000000000001";"13.7";"Point";"Sat Apr 17 13:55:57 CEST 2021";"3.1";"607acccdb31b0a267849e3c4";"0"
"3.9860000610351562";"";"1";"9.0684135";"Sat Apr 17 13:57:53 CEST 2021";"Sat Apr 17 13:57:53 CEST 2021";"WGS 84";"false";"";"uploads/5e6b7366-22f7-4eb6-965b-186743319222.jpeg";"000000000000000000000001";"13.8";"Point";"Sat Apr 17 13:57:53 CEST 2021";"3.1";"607acd41b31b0a267849e3c5";"0"
"6.094059688001753";"";"1";"8.591262790395458";"Sun Apr 25 09:26:27 CEST 2021";"Sun Apr 25 09:26:27 CEST 2021";"WGS 84";"";"";"uploads/146eaf12-4f6d-44c3-808d-ac7af5f12e00.jpeg";"000000000000000000000002";"15.2";"Point";"Sun Apr 25 09:26:27 CEST 2021";"0.9";"608519a3b31b0a267849e3c9";"0"
"0.0";"";"1";"8.54084";"Tue Apr 27 10:43:47 CEST 2021";"Tue Jun 30 09:03:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:16:02 CEST 2021";"0.0";"6087cec3b575cc3a3ea051fe";"0"
"0.0";"";"1";"8.56795";"Tue Apr 27 13:53:54 CEST 2021";"Thu Jun 25 08:10:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:17:31 CEST 2021";"0.0";"6087fb52b575cc3a3ea0533e";"0"
"0.0";"";"1";"8.56091";"Tue Apr 27 13:57:19 CEST 2021";"Thu Jun 25 07:50:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:16:59 CEST 2021";"0.0";"6087fc1fb575cc3a3ea05340";"0"
"0.0";"";"1";"8.558398";"Tue Apr 27 14:02:17 CEST 2021";"Tue Jun 30 07:48:00 CEST 2020";"WGS 84";"false";"";"";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 08:16:33 CEST 2021";"0.0";"6087fd49b575cc3a3ea05343";"0"
"0.0";"";"1";"8.56501";"Tue Apr 27 14:17:35 CEST 2021";"Thu Jun 25 08:28:00 CEST 2020";"WGS 84";"false";"";"";"";"0.0";"Point";"Tue Apr 27 14:17:35 CEST 2021";"0.0";"608800dfb575cc3a3ea05346";"0"
"0.0";"";"1";"8.573197";"Tue Apr 27 14:21:23 CEST 2021";"Tue Jun 30 10:32:00 CEST 2020";"WGS 84";"false";"";"";"";"0.0";"Point";"Tue Apr 27 14:21:23 CEST 2021";"2.0";"608801c3b575cc3a3ea05348";"0"
"0.0";"";"1";"8.486108";"Tue Apr 27 14:24:29 CEST 2021";"Tue Jun 30 09:41:00 CEST 2020";"WGS 84";"false";"";"";"";"0.0";"Point";"Tue Apr 27 14:24:29 CEST 2021";"3.0";"6088027db575cc3a3ea0534a";"0"
"0.0";"";"1";"8.546661";"Wed Apr 28 20:33:26 CEST 2021";"Tue Apr 27 15:30:00 CEST 2021";"WGS 84";"false";"";"uploads/191a6828-b201-47f5-b148-dff67f5a9462.jpeg";"000000000000000000000002";"0.0";"Point";"Thu Apr 29 13:01:34 CEST 2021";"0.0";"6089aa76b575cc3a3ea064d5";"0"
"79.05000305175781";"";"1";"9.3881043";"Thu May 06 08:38:16 CEST 2021";"Thu May 06 08:38:16 CEST 2021";"WGS 84";"";"";"uploads/5ff89f96-4d71-47f2-aae6-add63b2f67ef.jpeg";"000000000000000000000001";"11.7";"Point";"Thu May 06 08:38:16 CEST 2021";"0.9";"60938ed8b31b0a267849e3df";"0"
